datetime,total
09.01.2005 02:00:00,130273
09.01.2005 03:00:00,117399
09.01.2005 04:00:00,115616
09.01.2005 05:00:00,117131
09.01.2005 06:00:00,127659
09.01.2005 07:00:00,137732
09.01.2005 08:00:00,159678
09.01.2005 09:00:00,197595
09.01.2005 10:00:00,238089
09.01.2005 11:00:00,253763
09.01.2005 12:00:00,257739
09.01.2005 13:00:00,250524
09.01.2005 14:00:00,240924
09.01.2005 15:00:00,232722
09.01.2005 16:00:00,229693
09.01.2005 17:00:00,234247
09.01.2005 18:00:00,232790
09.01.2005 19:00:00,241269
09.01.2005 20:00:00,240996
09.01.2005 21:00:00,247783
09.01.2005 22:00:00,238954
09.01.2005 23:00:00,213575
10.01.2005 00:00:00,193372
10.01.2005 01:00:00,148945
10.01.2005 02:00:00,125254
10.01.2005 03:00:00,117945
10.01.2005 04:00:00,113046
10.01.2005 05:00:00,118036
10.01.2005 06:00:00,138030
10.01.2005 07:00:00,162626
10.01.2005 08:00:00,180689
10.01.2005 09:00:00,214527
10.01.2005 10:00:00,242839
10.01.2005 11:00:00,256175
10.01.2005 12:00:00,254838
10.01.2005 13:00:00,254049
10.01.2005 14:00:00,245371
10.01.2005 15:00:00,236619
10.01.2005 16:00:00,239951
10.01.2005 17:00:00,242211
10.01.2005 18:00:00,244662
10.01.2005 19:00:00,263151
10.01.2005 20:00:00,274583
10.01.2005 21:00:00,274887
10.01.2005 22:00:00,256632
10.01.2005 23:00:00,235622
11.01.2005 00:00:00,183501
11.01.2005 01:00:00,143973
11.01.2005 02:00:00,122661
11.01.2005 03:00:00,113488
11.01.2005 04:00:00,113897
11.01.2005 05:00:00,129141
11.01.2005 06:00:00,184687
11.01.2005 07:00:00,243203
11.01.2005 08:00:00,221382
11.01.2005 09:00:00,225839
11.01.2005 10:00:00,225378
11.01.2005 11:00:00,223201
11.01.2005 12:00:00,219626
11.01.2005 13:00:00,219611
11.01.2005 14:00:00,217464
11.01.2005 15:00:00,210173
11.01.2005 16:00:00,210865
11.01.2005 17:00:00,215175
11.01.2005 18:00:00,221163
11.01.2005 19:00:00,230006
11.01.2005 20:00:00,259098
11.01.2005 21:00:00,263359
11.01.2005 22:00:00,257418
11.01.2005 23:00:00,226146
12.01.2005 00:00:00,181508
12.01.2005 01:00:00,139900
12.01.2005 02:00:00,121563
12.01.2005 03:00:00,114724
12.01.2005 04:00:00,114818
12.01.2005 05:00:00,131188
12.01.2005 06:00:00,178966
12.01.2005 07:00:00,235415
12.01.2005 08:00:00,225595
12.01.2005 09:00:00,223664
12.01.2005 10:00:00,224833
12.01.2005 11:00:00,222224
12.01.2005 12:00:00,220546
12.01.2005 13:00:00,220647
12.01.2005 14:00:00,218439
12.01.2005 15:00:00,213119
12.01.2005 16:00:00,213118
12.01.2005 17:00:00,216473
12.01.2005 18:00:00,223498
12.01.2005 19:00:00,228226
12.01.2005 20:00:00,260290
12.01.2005 21:00:00,264243
12.01.2005 22:00:00,254416
12.01.2005 23:00:00,226642
13.01.2005 00:00:00,181755
13.01.2005 01:00:00,141757
13.01.2005 02:00:00,123968
13.01.2005 03:00:00,117510
13.01.2005 04:00:00,115814
13.01.2005 05:00:00,132495
13.01.2005 06:00:00,180063
13.01.2005 07:00:00,235062
13.01.2005 08:00:00,228431
13.01.2005 09:00:00,225686
13.01.2005 10:00:00,223847
13.01.2005 11:00:00,224844
13.01.2005 12:00:00,220885
13.01.2005 13:00:00,220855
13.01.2005 14:00:00,217473
13.01.2005 15:00:00,213668
13.01.2005 16:00:00,212751
13.01.2005 17:00:00,217645
13.01.2005 18:00:00,226870
13.01.2005 19:00:00,231559
13.01.2005 20:00:00,253657
13.01.2005 21:00:00,254795
13.01.2005 22:00:00,250381
13.01.2005 23:00:00,224536
14.01.2005 00:00:00,184693
14.01.2005 01:00:00,145938
14.01.2005 02:00:00,125162
14.01.2005 03:00:00,118848
14.01.2005 04:00:00,117041
14.01.2005 05:00:00,129990
14.01.2005 06:00:00,176679
14.01.2005 07:00:00,231228
14.01.2005 08:00:00,226258
14.01.2005 09:00:00,226481
14.01.2005 10:00:00,226185
14.01.2005 11:00:00,225301
14.01.2005 12:00:00,222636
14.01.2005 13:00:00,221224
14.01.2005 14:00:00,217830
14.01.2005 15:00:00,214393
14.01.2005 16:00:00,212847
14.01.2005 17:00:00,216961
14.01.2005 18:00:00,222878
14.01.2005 19:00:00,225976
14.01.2005 20:00:00,241964
14.01.2005 21:00:00,240598
14.01.2005 22:00:00,238772
14.01.2005 23:00:00,217970
15.01.2005 00:00:00,184564
15.01.2005 01:00:00,148140
15.01.2005 02:00:00,126420
15.01.2005 03:00:00,118329
15.01.2005 04:00:00,115101
15.01.2005 05:00:00,119101
15.01.2005 06:00:00,135788
15.01.2005 07:00:00,158521
15.01.2005 08:00:00,184199
15.01.2005 09:00:00,221201
15.01.2005 10:00:00,250599
15.01.2005 11:00:00,257589
15.01.2005 12:00:00,255407
15.01.2005 13:00:00,252105
15.01.2005 14:00:00,244656
15.01.2005 15:00:00,236883
15.01.2005 16:00:00,232229
15.01.2005 17:00:00,232452
15.01.2005 18:00:00,230487
15.01.2005 19:00:00,229368
15.01.2005 20:00:00,236237
15.01.2005 21:00:00,236572
15.01.2005 22:00:00,236400
15.01.2005 23:00:00,217368
16.01.2005 00:00:00,188695
16.01.2005 01:00:00,148757
16.01.2005 02:00:00,129679
16.01.2005 03:00:00,118752
16.01.2005 04:00:00,114017
16.01.2005 05:00:00,116312
16.01.2005 06:00:00,127177
16.01.2005 07:00:00,142323
16.01.2005 08:00:00,172312
16.01.2005 09:00:00,216688
16.01.2005 10:00:00,253101
16.01.2005 11:00:00,267868
16.01.2005 12:00:00,264696
16.01.2005 13:00:00,255468
16.01.2005 14:00:00,246698
16.01.2005 15:00:00,242745
16.01.2005 16:00:00,242535
16.01.2005 17:00:00,244699
16.01.2005 18:00:00,255001
16.01.2005 19:00:00,256362
16.01.2005 20:00:00,274271
16.01.2005 21:00:00,292340
16.01.2005 22:00:00,269612
16.01.2005 23:00:00,225523
17.01.2005 00:00:00,190748
17.01.2005 01:00:00,149263
17.01.2005 02:00:00,135022
17.01.2005 03:00:00,128399
17.01.2005 04:00:00,127397
17.01.2005 05:00:00,142702
17.01.2005 06:00:00,189916
17.01.2005 07:00:00,241578
17.01.2005 08:00:00,231211
17.01.2005 09:00:00,230491
17.01.2005 10:00:00,229389
17.01.2005 11:00:00,227898
17.01.2005 12:00:00,222069
17.01.2005 13:00:00,222426
17.01.2005 14:00:00,218823
17.01.2005 15:00:00,214950
17.01.2005 16:00:00,212658
17.01.2005 17:00:00,215481
17.01.2005 18:00:00,223363
17.01.2005 19:00:00,227970
17.01.2005 20:00:00,254683
17.01.2005 21:00:00,266740
17.01.2005 22:00:00,257284
17.01.2005 23:00:00,227584
18.01.2005 00:00:00,176218
18.01.2005 01:00:00,138880
18.01.2005 02:00:00,120656
18.01.2005 03:00:00,115341
18.01.2005 04:00:00,114533
18.01.2005 05:00:00,131016
18.01.2005 06:00:00,177827
18.01.2005 07:00:00,240311
18.01.2005 08:00:00,224387
18.01.2005 09:00:00,231673
18.01.2005 10:00:00,228233
18.01.2005 11:00:00,226618
18.01.2005 12:00:00,224687
18.01.2005 13:00:00,222819
18.01.2005 14:00:00,217089
18.01.2005 15:00:00,214242
18.01.2005 16:00:00,212714
18.01.2005 17:00:00,215906
18.01.2005 18:00:00,224841
18.01.2005 19:00:00,231952
18.01.2005 20:00:00,262355
18.01.2005 21:00:00,268565
18.01.2005 22:00:00,258894
18.01.2005 23:00:00,233553
19.01.2005 00:00:00,187894
19.01.2005 01:00:00,139392
19.01.2005 02:00:00,120981
19.01.2005 03:00:00,114599
19.01.2005 04:00:00,113819
19.01.2005 05:00:00,127457
19.01.2005 06:00:00,182446
19.01.2005 07:00:00,238747
19.01.2005 08:00:00,233936
19.01.2005 09:00:00,229956
19.01.2005 10:00:00,225866
19.01.2005 11:00:00,223020
19.01.2005 12:00:00,217647
19.01.2005 13:00:00,216907
19.01.2005 14:00:00,212536
19.01.2005 15:00:00,207688
19.01.2005 16:00:00,206434
19.01.2005 17:00:00,210709
19.01.2005 18:00:00,219897
19.01.2005 19:00:00,230345
19.01.2005 20:00:00,259051
19.01.2005 21:00:00,262526
19.01.2005 22:00:00,252486
19.01.2005 23:00:00,225023
20.01.2005 00:00:00,173055
20.01.2005 01:00:00,137687
20.01.2005 02:00:00,118946
20.01.2005 03:00:00,114866
20.01.2005 04:00:00,115570
20.01.2005 05:00:00,128071
20.01.2005 06:00:00,179742
20.01.2005 07:00:00,240562
20.01.2005 08:00:00,235298
20.01.2005 09:00:00,234737
20.01.2005 10:00:00,230746
20.01.2005 11:00:00,226980
20.01.2005 12:00:00,224285
20.01.2005 13:00:00,223379
20.01.2005 14:00:00,219716
20.01.2005 15:00:00,214928
20.01.2005 16:00:00,212052
20.01.2005 17:00:00,215588
20.01.2005 18:00:00,226655
20.01.2005 19:00:00,233430
20.01.2005 20:00:00,263514
20.01.2005 21:00:00,264417
20.01.2005 22:00:00,253614
20.01.2005 23:00:00,224133
21.01.2005 00:00:00,176637
21.01.2005 01:00:00,136975
21.01.2005 02:00:00,120875
21.01.2005 03:00:00,115107
21.01.2005 04:00:00,114300
21.01.2005 05:00:00,129605
21.01.2005 06:00:00,180245
21.01.2005 07:00:00,239406
21.01.2005 08:00:00,232931
21.01.2005 09:00:00,231693
21.01.2005 10:00:00,228715
21.01.2005 11:00:00,226524
21.01.2005 12:00:00,224538
21.01.2005 13:00:00,221856
21.01.2005 14:00:00,217751
21.01.2005 15:00:00,215513
21.01.2005 16:00:00,214192
21.01.2005 17:00:00,217440
21.01.2005 18:00:00,222424
21.01.2005 19:00:00,224890
21.01.2005 20:00:00,246449
21.01.2005 21:00:00,240449
21.01.2005 22:00:00,245830
21.01.2005 23:00:00,221190
22.01.2005 00:00:00,175225
22.01.2005 01:00:00,143791
22.01.2005 02:00:00,125048
22.01.2005 03:00:00,116682
22.01.2005 04:00:00,114776
22.01.2005 05:00:00,119339
22.01.2005 06:00:00,135851
22.01.2005 07:00:00,157633
22.01.2005 08:00:00,189767
22.01.2005 09:00:00,234229
22.01.2005 10:00:00,259274
22.01.2005 11:00:00,265017
22.01.2005 12:00:00,258658
22.01.2005 13:00:00,254768
22.01.2005 14:00:00,245912
22.01.2005 15:00:00,236671
22.01.2005 16:00:00,231894
22.01.2005 17:00:00,231181
22.01.2005 18:00:00,235619
22.01.2005 19:00:00,236645
22.01.2005 20:00:00,237855
22.01.2005 21:00:00,239215
22.01.2005 22:00:00,235823
22.01.2005 23:00:00,219789
23.01.2005 00:00:00,182990
23.01.2005 01:00:00,147591
23.01.2005 02:00:00,126903
23.01.2005 03:00:00,117847
23.01.2005 04:00:00,112915
23.01.2005 05:00:00,115488
23.01.2005 06:00:00,129025
23.01.2005 07:00:00,142910
23.01.2005 08:00:00,178053
23.01.2005 09:00:00,222734
23.01.2005 10:00:00,254408
23.01.2005 11:00:00,265581
23.01.2005 12:00:00,264629
23.01.2005 13:00:00,257071
23.01.2005 14:00:00,247276
23.01.2005 15:00:00,240930
23.01.2005 16:00:00,236877
23.01.2005 17:00:00,242891
23.01.2005 18:00:00,255445
23.01.2005 19:00:00,265599
23.01.2005 20:00:00,279373
23.01.2005 21:00:00,276852
23.01.2005 22:00:00,265689
23.01.2005 23:00:00,221733
24.01.2005 00:00:00,175542
24.01.2005 01:00:00,145262
24.01.2005 02:00:00,122869
24.01.2005 03:00:00,112317
24.01.2005 04:00:00,113039
24.01.2005 05:00:00,131326
24.01.2005 06:00:00,184436
24.01.2005 07:00:00,243169
24.01.2005 08:00:00,233399
24.01.2005 09:00:00,232340
24.01.2005 10:00:00,231258
24.01.2005 11:00:00,228743
24.01.2005 12:00:00,223953
24.01.2005 13:00:00,222923
24.01.2005 14:00:00,218685
24.01.2005 15:00:00,211658
24.01.2005 16:00:00,209820
24.01.2005 17:00:00,213425
24.01.2005 18:00:00,222194
24.01.2005 19:00:00,226152
24.01.2005 20:00:00,255009
24.01.2005 21:00:00,260513
24.01.2005 22:00:00,251357
24.01.2005 23:00:00,225683
25.01.2005 00:00:00,172968
25.01.2005 01:00:00,136857
25.01.2005 02:00:00,119200
25.01.2005 03:00:00,113022
25.01.2005 04:00:00,114261
25.01.2005 05:00:00,129462
25.01.2005 06:00:00,179229
25.01.2005 07:00:00,235146
25.01.2005 08:00:00,230242
25.01.2005 09:00:00,228967
25.01.2005 10:00:00,225551
25.01.2005 11:00:00,222351
25.01.2005 12:00:00,218585
25.01.2005 13:00:00,217298
25.01.2005 14:00:00,213831
25.01.2005 15:00:00,208894
25.01.2005 16:00:00,208232
25.01.2005 17:00:00,212837
25.01.2005 18:00:00,220929
25.01.2005 19:00:00,228465
25.01.2005 20:00:00,257161
25.01.2005 21:00:00,261143
25.01.2005 22:00:00,252784
25.01.2005 23:00:00,229700
26.01.2005 00:00:00,174298
26.01.2005 01:00:00,136411
26.01.2005 02:00:00,119138
26.01.2005 03:00:00,113323
26.01.2005 04:00:00,113837
26.01.2005 05:00:00,130609
26.01.2005 06:00:00,179779
26.01.2005 07:00:00,234378
26.01.2005 08:00:00,234925
26.01.2005 09:00:00,231241
26.01.2005 10:00:00,226919
26.01.2005 11:00:00,226123
26.01.2005 12:00:00,221886
26.01.2005 13:00:00,219816
26.01.2005 14:00:00,216792
26.01.2005 15:00:00,212510
26.01.2005 16:00:00,210236
26.01.2005 17:00:00,216545
26.01.2005 18:00:00,225622
26.01.2005 19:00:00,233188
26.01.2005 20:00:00,265375
26.01.2005 21:00:00,265218
26.01.2005 22:00:00,258037
26.01.2005 23:00:00,227069
27.01.2005 00:00:00,176436
27.01.2005 01:00:00,137389
27.01.2005 02:00:00,120366
27.01.2005 03:00:00,114659
27.01.2005 04:00:00,113855
27.01.2005 05:00:00,128411
27.01.2005 06:00:00,181153
27.01.2005 07:00:00,237996
27.01.2005 08:00:00,233469
27.01.2005 09:00:00,232274
27.01.2005 10:00:00,231129
27.01.2005 11:00:00,228620
27.01.2005 12:00:00,223721
27.01.2005 13:00:00,223019
27.01.2005 14:00:00,219588
27.01.2005 15:00:00,215424
27.01.2005 16:00:00,215281
27.01.2005 17:00:00,218359
27.01.2005 18:00:00,227602
27.01.2005 19:00:00,231277
27.01.2005 20:00:00,264098
27.01.2005 21:00:00,256827
27.01.2005 22:00:00,255352
27.01.2005 23:00:00,229393
28.01.2005 00:00:00,178400
28.01.2005 01:00:00,140740
28.01.2005 02:00:00,122528
28.01.2005 03:00:00,116879
28.01.2005 04:00:00,115990
28.01.2005 05:00:00,130314
28.01.2005 06:00:00,179480
28.01.2005 07:00:00,236275
28.01.2005 08:00:00,231176
28.01.2005 09:00:00,228288
28.01.2005 10:00:00,230515
28.01.2005 11:00:00,227245
28.01.2005 12:00:00,226561
28.01.2005 13:00:00,225285
28.01.2005 14:00:00,222522
28.01.2005 15:00:00,217735
28.01.2005 16:00:00,215388
28.01.2005 17:00:00,220581
28.01.2005 18:00:00,224501
28.01.2005 19:00:00,227183
28.01.2005 20:00:00,244231
28.01.2005 21:00:00,244447
28.01.2005 22:00:00,245202
28.01.2005 23:00:00,217986
29.01.2005 00:00:00,177225
29.01.2005 01:00:00,148279
29.01.2005 02:00:00,125173
29.01.2005 03:00:00,117778
29.01.2005 04:00:00,114947
29.01.2005 05:00:00,117246
29.01.2005 06:00:00,138131
29.01.2005 07:00:00,158889
29.01.2005 08:00:00,192264
29.01.2005 09:00:00,235309
29.01.2005 10:00:00,261823
29.01.2005 11:00:00,271294
29.01.2005 12:00:00,264611
29.01.2005 13:00:00,261627
29.01.2005 14:00:00,251344
29.01.2005 15:00:00,239905
29.01.2005 16:00:00,237081
29.01.2005 17:00:00,237475
29.01.2005 18:00:00,235927
29.01.2005 19:00:00,241511
29.01.2005 20:00:00,248375
29.01.2005 21:00:00,243469
29.01.2005 22:00:00,236282
29.01.2005 23:00:00,217034
30.01.2005 00:00:00,182432
30.01.2005 01:00:00,149412
30.01.2005 02:00:00,126752
30.01.2005 03:00:00,116957
30.01.2005 04:00:00,114107
30.01.2005 05:00:00,117701
30.01.2005 06:00:00,128404
30.01.2005 07:00:00,142566
30.01.2005 08:00:00,180002
30.01.2005 09:00:00,225831
30.01.2005 10:00:00,259368
30.01.2005 11:00:00,269842
30.01.2005 12:00:00,265536
30.01.2005 13:00:00,259956
30.01.2005 14:00:00,245343
30.01.2005 15:00:00,240051
30.01.2005 16:00:00,236221
30.01.2005 17:00:00,241714
30.01.2005 18:00:00,266324
30.01.2005 19:00:00,275527
30.01.2005 20:00:00,284148
30.01.2005 21:00:00,288106
30.01.2005 22:00:00,271468
30.01.2005 23:00:00,235070
31.01.2005 00:00:00,179903
31.01.2005 01:00:00,142014
31.01.2005 02:00:00,122642
31.01.2005 03:00:00,115958
31.01.2005 04:00:00,116344
31.01.2005 05:00:00,131562
31.01.2005 06:00:00,186972
31.01.2005 07:00:00,244931
31.01.2005 08:00:00,237493
31.01.2005 09:00:00,233452
31.01.2005 10:00:00,231714
31.01.2005 11:00:00,230268
31.01.2005 12:00:00,226916
31.01.2005 13:00:00,224139
31.01.2005 14:00:00,219291
31.01.2005 15:00:00,214304
31.01.2005 16:00:00,213029
31.01.2005 17:00:00,214908
31.01.2005 18:00:00,220600
31.01.2005 19:00:00,231461
31.01.2005 20:00:00,254416
31.01.2005 21:00:00,259419
31.01.2005 22:00:00,255759
31.01.2005 23:00:00,228215
01.02.2005 00:00:00,170401
01.02.2005 01:00:00,136173
01.02.2005 02:00:00,120498
01.02.2005 03:00:00,114926
01.02.2005 04:00:00,116418
01.02.2005 05:00:00,129795
01.02.2005 06:00:00,182710
01.02.2005 07:00:00,240124
01.02.2005 08:00:00,233589
01.02.2005 09:00:00,231313
01.02.2005 10:00:00,228451
01.02.2005 11:00:00,226374
01.02.2005 12:00:00,223900
01.02.2005 13:00:00,221655
01.02.2005 14:00:00,216209
01.02.2005 15:00:00,212541
01.02.2005 16:00:00,211792
01.02.2005 17:00:00,214486
01.02.2005 18:00:00,219407
01.02.2005 19:00:00,232738
01.02.2005 20:00:00,262549
01.02.2005 21:00:00,262746
01.02.2005 22:00:00,260318
01.02.2005 23:00:00,226185
02.02.2005 00:00:00,175174
02.02.2005 01:00:00,136448
02.02.2005 02:00:00,121244
02.02.2005 03:00:00,116171
02.02.2005 04:00:00,116870
02.02.2005 05:00:00,130378
02.02.2005 06:00:00,183722
02.02.2005 07:00:00,243161
02.02.2005 08:00:00,239670
02.02.2005 09:00:00,234605
02.02.2005 10:00:00,230446
02.02.2005 11:00:00,226431
02.02.2005 12:00:00,221638
02.02.2005 13:00:00,220359
02.02.2005 14:00:00,216195
02.02.2005 15:00:00,212401
02.02.2005 16:00:00,210609
02.02.2005 17:00:00,214738
02.02.2005 18:00:00,223164
02.02.2005 19:00:00,232710
02.02.2005 20:00:00,265150
02.02.2005 21:00:00,266502
02.02.2005 22:00:00,260374
02.02.2005 23:00:00,226654
03.02.2005 00:00:00,175762
03.02.2005 01:00:00,136224
03.02.2005 02:00:00,119870
03.02.2005 03:00:00,113110
03.02.2005 04:00:00,112846
03.02.2005 05:00:00,131905
03.02.2005 06:00:00,181977
03.02.2005 07:00:00,240206
03.02.2005 08:00:00,240894
03.02.2005 09:00:00,239782
03.02.2005 10:00:00,235397
03.02.2005 11:00:00,230514
03.02.2005 12:00:00,225691
03.02.2005 13:00:00,223190
03.02.2005 14:00:00,217913
03.02.2005 15:00:00,215203
03.02.2005 16:00:00,214603
03.02.2005 17:00:00,218246
03.02.2005 18:00:00,225034
03.02.2005 19:00:00,236618
03.02.2005 20:00:00,265266
03.02.2005 21:00:00,261158
03.02.2005 22:00:00,257678
03.02.2005 23:00:00,226655
04.02.2005 00:00:00,177965
04.02.2005 01:00:00,138188
04.02.2005 02:00:00,120906
04.02.2005 03:00:00,115087
04.02.2005 04:00:00,115312
04.02.2005 05:00:00,131911
04.02.2005 06:00:00,183952
04.02.2005 07:00:00,242819
04.02.2005 08:00:00,242123
04.02.2005 09:00:00,240849
04.02.2005 10:00:00,237636
04.02.2005 11:00:00,232504
04.02.2005 12:00:00,227923
04.02.2005 13:00:00,225379
04.02.2005 14:00:00,221040
04.02.2005 15:00:00,217755
04.02.2005 16:00:00,216579
04.02.2005 17:00:00,219555
04.02.2005 18:00:00,227229
04.02.2005 19:00:00,229240
04.02.2005 20:00:00,249289
04.02.2005 21:00:00,250019
04.02.2005 22:00:00,242730
04.02.2005 23:00:00,221975
05.02.2005 00:00:00,178838
05.02.2005 01:00:00,142885
05.02.2005 02:00:00,126795
05.02.2005 03:00:00,119391
05.02.2005 04:00:00,117312
05.02.2005 05:00:00,119553
05.02.2005 06:00:00,138275
05.02.2005 07:00:00,165939
05.02.2005 08:00:00,209804
05.02.2005 09:00:00,250875
05.02.2005 10:00:00,273002
05.02.2005 11:00:00,273623
05.02.2005 12:00:00,263534
05.02.2005 13:00:00,256066
05.02.2005 14:00:00,246184
05.02.2005 15:00:00,235989
05.02.2005 16:00:00,233354
05.02.2005 17:00:00,234211
05.02.2005 18:00:00,237199
05.02.2005 19:00:00,240248
05.02.2005 20:00:00,246054
05.02.2005 21:00:00,241846
05.02.2005 22:00:00,240010
05.02.2005 23:00:00,213046
06.02.2005 00:00:00,177681
06.02.2005 01:00:00,145812
06.02.2005 02:00:00,125446
06.02.2005 03:00:00,120638
06.02.2005 04:00:00,115556
06.02.2005 05:00:00,118920
06.02.2005 06:00:00,130987
06.02.2005 07:00:00,149815
06.02.2005 08:00:00,192428
06.02.2005 09:00:00,241825
